date,store_nbr,family,sales,onpromotion,oil_price,type,cluster,work_day,month_day,week_day,month
2013-01-01,1,AUTOMOTIVE,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,BABY CARE,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,BEAUTY,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,BEVERAGES,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,BOOKS,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,BREAD/BAKERY,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,CELEBRATION,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,CLEANING,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,DAIRY,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,DELI,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,EGGS,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,FROZEN FOODS,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,GROCERY I,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,GROCERY II,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,HARDWARE,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,HOME AND KITCHEN I,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,HOME AND KITCHEN II,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,HOME APPLIANCES,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,HOME CARE,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,LADIESWEAR,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,LAWN AND GARDEN,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,LINGERIE,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,"LIQUOR,WINE,BEER",0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,MAGAZINES,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,MEATS,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,PERSONAL CARE,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,PET SUPPLIES,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,PLAYERS AND ELECTRONICS,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,POULTRY,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,PREPARED FOODS,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,PRODUCE,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,SCHOOL AND OFFICE SUPPLIES,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,1,SEAFOOD,0.0,0,93.14,D,13,False,1,1,1
2013-01-01,10,AUTOMOTIVE,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,BABY CARE,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,BEAUTY,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,BEVERAGES,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,BOOKS,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,BREAD/BAKERY,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,CELEBRATION,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,CLEANING,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,DAIRY,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,DELI,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,EGGS,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,FROZEN FOODS,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,GROCERY I,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,GROCERY II,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,HARDWARE,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,HOME AND KITCHEN I,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,HOME AND KITCHEN II,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,HOME APPLIANCES,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,HOME CARE,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,LADIESWEAR,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,LAWN AND GARDEN,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,LINGERIE,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,"LIQUOR,WINE,BEER",0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,MAGAZINES,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,MEATS,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,PERSONAL CARE,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,PET SUPPLIES,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,PLAYERS AND ELECTRONICS,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,POULTRY,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,PREPARED FOODS,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,PRODUCE,0.0,0,93.14,C,15,False,1,1,1
2013-01-01,10,SCHOOL AND OFFICE SUPPLIES,0.0,0,93.14,C,15,False,1,1,1
